id,business_name,category,city,address,phone_primary,whatsapp_likely,email,website,website_status,offer_fit,priority,why_contact,source,suggested_msg
H01,Pinetop Resort Khanpur Dam,Hotel / Resort,Khanpur (Haripur),"Dam, Wapda Gate, Khanpur, Hazara, KPK 22650",0300-4452015,0300-4452015,,https://pinetopresort.com,Has website — booking still mostly WhatsApp/Google,Direct booking website + WhatsApp booking portal,High,Busy lakeside resort; guests book via Google/WhatsApp; own booking portal cuts commission,Public hotel listing / pinetopresort.com,hotel
H02,Orange Lake Resort,Hotel / Resort,Khanpur (Haripur),"Khanpur, Haripur, Khyber Pakhtunkhwa",0335-9831574,0335-9831574,,,Weak / listing-only online presence,Hotel website + online booking + events page,High,500+ Google reviews; strong business; needs own booking site,Public hotel listing,hotel
H03,Mabali Island Resort & Adventure Club,Hotel / Resort,Khanpur (Haripur),"Old Khanpur East Road, Khanpur, Haripur, KPK",0303-5958999,0303-5958999,,,Mostly Google/Facebook; adventure bookings off-platform,Booking + activity booking portal,High,"5,000+ Google reviews; jetski/huts need online booking portal",Public hotel listing,hotel
H04,White Palace Hotel & Resort,Hotel / Resort,Khanpur (Haripur),"Old Khanpur E Rd, District Haripur, Khanpur, KPK 22620",0312-5532298,0312-5532298,,,Listing-heavy; weak own site,Hotel website + room booking,High,"Rates around PKR 20,000/night; needs branded booking site",Public hotel listing,hotel
H05,Gandhara Castle Resort & Adventure Club,Hotel / Resort,Khanpur (Haripur),"Old Khanpur E Rd, Khanpur, Haripur, KPK 22620",0340-8544441,0316-8765816,,,Google listing; no strong branded site,Hotel website + adventure booking,High,Owner-style mobile numbers; running resort,Google Hotels / public listing,hotel
H06,Lake View Hotel & Resort,Hotel / Resort,Khanpur (Haripur),"Old Khanpur E Rd, Khanpur Dam, KPK 22630",0334-5657505,0334-5657505,,,Weak own web presence,Hotel website + booking,High,Premium rates; still depends on listings,Public hotel listing,hotel
H07,Sunset Creek Resort,Hotel / Resort,Khanpur (Haripur),"RWCP+F37, Old Khanpur E Rd, Haripur, KPK 22650",0317-5956416,0317-5956416,,,Weak own web presence,Hotel website + booking,High,Owner mobile listed; good for direct outreach,Public hotel listing,hotel
H08,Royal Inn Guest House,Guest House,Haripur,"Swat Chowk, G.T. Road Hattar, Haripur 22620",0321-5882396,0321-5882396,,,No proper website found,Simple hotel website + WhatsApp booking,High,Small guest house on GT Road; listed mobile is typically owner,Google Hotels,hotel
H09,Madina Hotel & Restaurant,Hotel + Restaurant,Hattar (Haripur),"Hattar PC, Haripur Tehsil, KPK",0346-3053718,0346-3053718,,,No website found,Website + menu + room booking,High,24h hotel/restaurant; no site; owner-style mobile,Public maps,hotel
H10,Abu Yousha Guest House Haripur Hazara,Guest House,Haripur,"Village Qazian, Chohar PC, Haripur Tehsil",0345-9630301,0345-9630301,,,No website found,Simple website + booking WhatsApp,High,Small guest house; listed mobile typically owner,Public maps,hotel
H11,Hotel City Center Abbottabad,Hotel,Abbottabad,"945 Mansehra Road, Abbottabad, KPK",0992-400111,0309-92400111,hotelcitycenteratd@gmail.com,https://hotelcitycenteratd.com,Has website — can upgrade booking/SEO,SEO + booking portal + Google ranking,Medium,Established city hotel; website exists but portal/SEO can improve,hotelcitycenteratd.com,hotel
H12,Hotel Amore Donga Gali,Hotel,Abbottabad,"Hotel Amore, Donga Gali, Abbottabad",0342-2252525,0342-2252525,info@hotelamore.com.pk,https://hotelamore.com.pk,Has website — booking still WhatsApp-heavy,Direct booking portal + WhatsApp integration,Medium,Hill-station hotel; WhatsApp reservations dominate,hotelamore.com.pk,hotel
H13,Republika Central Hotel & Resort,Hotel,Abbottabad,"Peer Bandi Road, Bandi Dhundan / Qalanderabad, Abbottabad 22010",0300-5121060,0300-5121060,reservations@republikabysummit.com,https://republikabysummit.com,Has website — can add stronger booking/portal,Booking engine + guest portal,Medium,Growing local hotel brand; two properties,republikabysummit.com,hotel
H14,Dreams Hospitality (Guest Houses),Guest House network,Islamabad,"House No. 21, Street No. 38, Sector F-6/1, Islamabad",0300-5537690,0313-5245151,wajid.ali1619@yahoo.com,,Network listed more than a strong site,Multi-property booking portal,High,Owner-operated hospitality network; needs one booking site,Public hospitality listing,hotel
R01,deMinister Cafe Abbottabad,Restaurant / Cafe,Abbottabad,"Jadoon Plaza Phase 2, Mandian, Abbottabad",0303-5040791,0303-5040791,,https://deminister.com,Has site — ordering still phone/WhatsApp,Online ordering + branch pages,High,Popular local brand; two cities; delivery via phone,Public social / deminister.com,restaurant
R02,deMinister Cafe Haripur,Restaurant / Cafe,Haripur,"Emaan Zeb Plaza, GT Road, Darvesh, Haripur",0331-6641111,0331-6641111,,https://deminister.com,Same brand — Haripur branch,Ordering portal + Haripur landing page,High,Local Haripur branch; WhatsApp numbers look owner/manager,Public social,restaurant
R03,Flame On Abbottabad,Restaurant,Abbottabad,"Jadoon Plaza Phase 1, Mandian, Abbottabad",0992-111-224466,0992-111-224466,onflame19@gmail.com,,Weak branded website vs Foodpanda/Google,Website + online ordering + 2-branch portal,High,Busy burger/pizza brand in ATD + Haripur,Public directory,restaurant
R04,Grill Out Haripur,Restaurant,Haripur,"GT Road, near Shahi Restaurant, Haripur",0334-5332323,0334-5332323,,,No proper website found,Website + menu + delivery orders,High,Running restaurant; phone-only ordering typical of missing site,Public local listing,restaurant
R05,Aroma Cafe & Restaurant,Restaurant / Cafe,Abbottabad,"Awan Shopping Plaza Phase-2, Opposite Daewoo Terminal, Mandian, Abbottabad",0306-5005234,0306-5005234,info@aromacafeatd.com,https://aromacafeatd.com,Has website — can add ordering,Online ordering + reservations,Medium,Cafe with site; still phone-first,aromacafeatd.com,restaurant
R06,Bait el Arab Mandi Abbottabad,Restaurant,Abbottabad,"Basement, Salman Khel Plaza, beside KIPS, Abbottabad",0303-5251777,0303-5251777,mandibaitelarab@gmail.com,https://ordermandi.com,Has site — WhatsApp still main order channel,Stronger ordering + delivery portal,Medium,Owner-founded (Assad Nadeem); growing brand,ordermandi.com,restaurant
R07,Saif Restaurant Mandian,Restaurant,Abbottabad,"Mandian, Abbottabad",0992-384046,0992-384046,,,No website found,Website + menu + reservations,High,Known restaurant; landline only online; high website need,Public menu listings,restaurant
R08,Taste Planet Cafe,Restaurant / Cafe,Abbottabad,"Near Limelight, Jadoon Plaza 2, Abbottabad",0300-9117070,0300-9117070,,,Weak own site,Website + online ordering,High,Owner-style mobile; cafe in busy plaza,Public local listing,restaurant
S01,Sir Syed Model School & College (Boys),School / College,Haripur,"West Circular Road, opposite Govt. Girls Post Graduate College, Haripur",0995-628167,0319-9540008,Info@ssmsc.edu.pk,https://www.ssmsc.edu.pk,Has brochure site — no full LMS/student portal,LMS + student/parent portal + fee module,High,Est. 1984; MD Nasir Taj; perfect for school portal/LMS,ssmsc.edu.pk,school
S02,Sir Syed Model School & College (Girls),School / College,Haripur,"West Circular Road, Haripur",0995-628386,0319-9540006,Info@ssmsc.edu.pk,https://www.ssmsc.edu.pk,Same group,LMS + girls campus portal,High,Separate campus; same management,ssmsc.edu.pk,school
S03,Pakistan Public School & College,School / College,Haripur,"Khalabat Township (KTS), Haripur — 3 campuses",0995-620786,0333-6217862,info@ppsc.edu.pk,https://ppsc.edu.pk,Has website — needs LMS/fee/attendance portal,LMS + multi-campus student portal,High,Founded 1992 by Saleem Khan; 3 campuses,ppsc.edu.pk,school
S04,Froebel's House School & College,School / College,Haripur,"Opposite Government Post Graduate College, Haripur",0995-321177,0995-321177,froebelshouseschool@gmail.com,https://fhsc.edu.pk,Has website — portal/LMS still a gap,LMS + admissions + parent portal,High,Purpose-built campus since 2013,fhsc.edu.pk,school
S05,Merit Schooling System & College,School / College,Haripur,"Khalabat Road, KTS Haripur",0995-621506,0301-5850123,info@merit.edu.pk,https://merit.edu.pk,Has website — needs LMS,LMS + boys/girls campus portals,High,Boys 0301-5850123 / 0335-5357456; Girls 0334-5357666 / 0331-5357666,merit.edu.pk,school
